query_id,phase9_top1_doc_id,phase10b_top1_doc_id,phase10b_bm25_score,phase9_score_available,match,n_hits_returned_phase9,n_hits_returned_phase10b,detector_label,retrieval_path,mismatch_note
H001,77997,77997,18.600357055664062,0,1,50,50,URDU,urdu_bm25,
H002,88102,88102,7.296616554260254,0,1,50,50,URDU,urdu_bm25,
H003,101957,101957,18.211837768554688,0,1,50,50,URDU,urdu_bm25,
H004,76782,76782,17.71515464782715,0,1,50,50,URDU,urdu_bm25,
H005,90969,90969,14.46399211883545,0,1,50,50,URDU,urdu_bm25,
H006,109027,109027,15.88590145111084,0,1,50,50,URDU,urdu_bm25,
H007,106692,106692,16.989574432373047,0,1,50,50,URDU,urdu_bm25,
H008,76784,76784,19.184242248535156,0,1,50,50,URDU,urdu_bm25,
H009,63501,63501,10.985426902770996,0,1,50,50,ROMAN,roman_bm25_method_D,
H010,71030,71030,0.06500990688800812,0,1,50,50,ROMAN,roman_bm25_method_D,
H011,49721,49721,4.032383441925049,0,1,50,50,ROMAN,roman_bm25_method_D,
H012,103186,103186,13.329050064086914,0,1,50,50,ROMAN,roman_bm25_method_D,
H013,93009,93009,10.635169982910156,0,1,50,50,ROMAN,roman_bm25_method_D,
H014,111755,111755,17.447351455688477,0,1,50,50,ROMAN,roman_bm25_method_D,
H015,17423,17423,8.655927658081055,0,1,50,50,ROMAN,roman_bm25_method_D,
H016,95987,95987,0.02589336410164833,0,1,50,50,ROMAN,roman_bm25_method_D,
H017,58863,58863,22.394426345825195,0,1,50,50,URDU,urdu_bm25,
H018,70120,70120,34.71826934814453,0,1,50,50,URDU,urdu_bm25,
H019,54522,54522,26.065898895263672,0,1,50,50,URDU,urdu_bm25,
H020,80318,80318,15.641282081604004,0,1,50,50,URDU,urdu_bm25,
H021,79724,79724,14.447859764099121,0,1,50,50,URDU,urdu_bm25,
H022,93795,93795,18.326271057128906,0,1,50,50,URDU,urdu_bm25,
H023,99,99,36.57658767700195,0,1,50,50,URDU,urdu_bm25,
H024,40683,40683,23.312747955322266,0,1,50,50,URDU,urdu_bm25,
H025,42603,42603,14.064212799072266,0,1,50,50,ROMAN,roman_bm25_method_D,
H026,63323,63323,16.286821365356445,0,1,50,50,ROMAN,roman_bm25_method_D,
H027,18668,18668,19.96223258972168,0,1,8,8,ROMAN,roman_bm25_method_D,
H028,18668,18668,19.9918155670166,0,1,50,50,ROMAN,roman_bm25_method_D,
H029,42603,42603,13.92173957824707,0,1,50,50,ROMAN,roman_bm25_method_D,
H030,87722,87722,16.315486907958984,0,1,50,50,ROMAN,roman_bm25_method_D,
H031,63529,63529,11.853483200073242,0,1,50,50,ROMAN,roman_bm25_method_D,
H032,73269,73269,15.024353981018066,0,1,50,50,ROMAN,roman_bm25_method_D,
H033,3055,3055,13.586380004882812,0,1,50,50,URDU,urdu_bm25,
H034,38436,38436,15.989555358886719,0,1,50,50,URDU,urdu_bm25,
H035,56211,56211,12.901300430297852,0,1,50,50,ROMAN,roman_bm25_method_D,
H036,106535,106535,13.202574729919434,0,1,1,1,ROMAN,roman_bm25_method_D,
H037,75117,75117,38.936988830566406,0,1,50,50,URDU,urdu_bm25,
H038,86965,86965,31.803293228149414,0,1,50,50,URDU,urdu_bm25,
H039,64947,64947,21.84873390197754,0,1,50,50,ROMAN,roman_bm25_method_D,
H040,109897,109897,18.51026725769043,0,1,50,50,ROMAN,roman_bm25_method_D,
