metric,value
n_new_queries,260
n_train,182
n_dev,39
n_internal_val,39
n_frozen_test,40
headline_oracle_n,74
full_oracle_n,12
mixed_oracle_n,174
headline_oracle_pct,28.46
full_oracle_pct,4.62
mixed_oracle_pct,66.92
mean_oracle_margin,0.254
median_oracle_margin,0.0
mean_headline_ndcg5,0.3477
mean_full_ndcg5,0.1541
protocol_agree_nonmixed,30
protocol_disagree_nonmixed,56
protocol_agreement_pct_nonmixed,34.88
wordcount_agree_nonmixed,12
wordcount_agreement_pct_nonmixed,13.95
urdu_n,145
roman_urdu_n,87
mixed_lang_n,28
headline_hit5,100
full_hit5,50
both_miss_top5,152
