query_id,split,category,overlap_n,rank_A,rank_B,rank_C,rank_D
QTRN_016,internal_val,recovered,11,999,11,3,1
QTRN_031,internal_val,source_article_difficult_to_retrieve,10,999,999,32,9
QTRN_034,dev,recovered,10,999,999,1,1
QTRN_038,dev,recovered,8,999,999,3,1
QTRN_056,dev,recovered,9,999,999,5,1
QTRN_067,internal_val,recovered,9,999,999,46,1
QTRN_070,internal_val,recovered,8,999,999,1,1
QTRN_088,internal_val,recovered,12,999,999,1,1
QTRN_094,internal_val,recovered,10,999,999,2,2
QTRN_106,dev,recovered,12,999,999,1,1
QTRN_128,internal_val,recovered,11,999,999,2,1
QTRN_133,dev,recovered,12,999,999,1,1
QTRN_139,dev,recovered,12,999,999,1,1
QTRN_155,internal_val,recovered,11,999,999,999,3
QTRN_175,internal_val,recovered,7,999,999,999,1
QTRN_191,dev,recovered,8,999,999,1,1
QTRN_196,dev,recovered,12,999,999,1,1
QTRN_205,internal_val,recovered,12,999,999,1,1
QTRN_211,dev,recovered,12,999,999,1,1
QTRN_214,dev,recovered,9,999,999,3,3
QTRN_220,dev,recovered,10,999,999,5,1
QTRN_229,dev,recovered,6,999,999,2,2
QTRN_232,dev,recovered,12,999,999,1,1
