query_id,detector_label,retrieval_path,source_doc_id,rank_of_source,hit@5,hit@10,hit@15,excluded,exclude_reason,n_hits_returned,top1_doc_id
H001,URDU,urdu_bm25,,,,,,1,no_source_doc_id,50,77997
H002,URDU,urdu_bm25,,,,,,1,no_source_doc_id,50,88102
H003,URDU,urdu_bm25,,,,,,1,no_source_doc_id,50,101957
H004,URDU,urdu_bm25,,,,,,1,no_source_doc_id,50,76782
H005,URDU,urdu_bm25,,,,,,1,no_source_doc_id,50,90969
H006,URDU,urdu_bm25,,,,,,1,no_source_doc_id,50,109027
H007,URDU,urdu_bm25,,,,,,1,no_source_doc_id,50,106692
H008,URDU,urdu_bm25,,,,,,1,no_source_doc_id,50,76784
H009,ROMAN,roman_bm25_method_D,,,,,,1,no_source_doc_id,50,63501
H010,ROMAN,roman_bm25_method_D,,,,,,1,no_source_doc_id,50,71030
H011,ROMAN,roman_bm25_method_D,,,,,,1,no_source_doc_id,50,49721
H012,ROMAN,roman_bm25_method_D,,,,,,1,no_source_doc_id,50,103186
H013,ROMAN,roman_bm25_method_D,,,,,,1,no_source_doc_id,50,93009
H014,ROMAN,roman_bm25_method_D,,,,,,1,no_source_doc_id,50,111755
H015,ROMAN,roman_bm25_method_D,,,,,,1,no_source_doc_id,50,17423
H016,ROMAN,roman_bm25_method_D,,,,,,1,no_source_doc_id,50,95987
H017,URDU,urdu_bm25,,,,,,1,no_source_doc_id,50,58863
H018,URDU,urdu_bm25,,,,,,1,no_source_doc_id,50,70120
H019,URDU,urdu_bm25,,,,,,1,no_source_doc_id,50,54522
H020,URDU,urdu_bm25,,,,,,1,no_source_doc_id,50,80318
H021,URDU,urdu_bm25,,,,,,1,no_source_doc_id,50,79724
H022,URDU,urdu_bm25,,,,,,1,no_source_doc_id,50,93795
H023,URDU,urdu_bm25,,,,,,1,no_source_doc_id,50,99
H024,URDU,urdu_bm25,,,,,,1,no_source_doc_id,50,40683
H025,ROMAN,roman_bm25_method_D,,,,,,1,no_source_doc_id,50,42603
H026,ROMAN,roman_bm25_method_D,,,,,,1,no_source_doc_id,50,63323
H027,ROMAN,roman_bm25_method_D,,,,,,1,no_source_doc_id,8,18668
H028,ROMAN,roman_bm25_method_D,,,,,,1,no_source_doc_id,50,18668
H029,ROMAN,roman_bm25_method_D,,,,,,1,no_source_doc_id,50,42603
H030,ROMAN,roman_bm25_method_D,,,,,,1,no_source_doc_id,50,87722
H031,ROMAN,roman_bm25_method_D,,,,,,1,no_source_doc_id,50,63529
H032,ROMAN,roman_bm25_method_D,,,,,,1,no_source_doc_id,50,73269
H033,URDU,urdu_bm25,,,,,,1,no_source_doc_id,50,3055
H034,URDU,urdu_bm25,,,,,,1,no_source_doc_id,50,38436
H035,ROMAN,roman_bm25_method_D,,,,,,1,no_source_doc_id,50,56211
H036,ROMAN,roman_bm25_method_D,,,,,,1,no_source_doc_id,1,106535
H037,URDU,urdu_bm25,,,,,,1,no_source_doc_id,50,75117
H038,URDU,urdu_bm25,,,,,,1,no_source_doc_id,50,86965
H039,ROMAN,roman_bm25_method_D,,,,,,1,no_source_doc_id,50,64947
H040,ROMAN,roman_bm25_method_D,,,,,,1,no_source_doc_id,50,109897
