query_id,split,source_doc_id,gold_rank,in_top50,category
KN001,train,92506,,0,VOCAB/MISS
KN002,train,90691,,0,VOCAB/MISS
KN005,train,64084,,0,VOCAB/MISS
KN006,train,29860,,0,VOCAB/MISS
KN008,train,47197,,0,VOCAB/MISS
KN010,train,1674,,0,VOCAB/MISS
KN011,train,60226,,0,VOCAB/MISS
KN013,train,82652,,0,VOCAB/MISS
KN014,train,79754,44,1,RANK
KN015,train,22450,,0,VOCAB/MISS
KN016,train,100673,,0,VOCAB/MISS
KN017,train,19341,,0,VOCAB/MISS
KN018,train,17943,,0,VOCAB/MISS
KN019,train,5092,,0,VOCAB/MISS
KN020,train,60895,,0,VOCAB/MISS
KN021,train,13065,,0,VOCAB/MISS
KN022,train,14664,,0,VOCAB/MISS
KN024,train,31154,,0,VOCAB/MISS
KN025,train,60831,,0,VOCAB/MISS
KN026,train,102664,,0,VOCAB/MISS
KN027,train,59279,,0,VOCAB/MISS
KN028,train,76785,,0,VOCAB/MISS
KN029,train,101347,,0,VOCAB/MISS
KN030,train,47083,,0,VOCAB/MISS
KN031,train,29423,,0,VOCAB/MISS
KN032,train,41695,,0,VOCAB/MISS
KN033,train,81673,,0,VOCAB/MISS
KN034,train,13398,,0,VOCAB/MISS
KN035,train,10546,,0,VOCAB/MISS
KN036,train,76509,,0,VOCAB/MISS
KN037,dev,22739,,0,VOCAB/MISS
KN039,dev,23062,,0,VOCAB/MISS
KN040,dev,24596,,0,VOCAB/MISS
KN041,dev,65903,,0,VOCAB/MISS
KN042,dev,111652,,0,VOCAB/MISS
KN043,dev,21399,,0,VOCAB/MISS
KN044,dev,23544,,0,VOCAB/MISS
KN045,dev,19783,,0,VOCAB/MISS
KN046,dev,109714,,0,VOCAB/MISS
KN047,dev,61862,,0,VOCAB/MISS
KN048,dev,20073,42,1,RANK
KN049,dev,86593,,0,VOCAB/MISS
KN050,dev,34762,,0,VOCAB/MISS
KN051,dev,21160,,0,VOCAB/MISS
KN052,dev,59426,,0,VOCAB/MISS
KN053,dev,22115,,0,VOCAB/MISS
KN054,dev,4400,,0,VOCAB/MISS
