query_id,split,script,source_doc_id,r2_primary,baseline_rank,baseline_hit@1,baseline_hit@5,baseline_hit@10,baseline_hit@50,dense_rank,dense_hit@1,dense_hit@5,dense_hit@10,dense_hit@50,dense_gold_similarity,dense_rank1_similarity,dense_rank1_doc_id,dense_recovered_baseline_miss50,dense_lost_baseline_hit50,dense_recovered_baseline_miss5,dense_lost_baseline_hit5,dense_fail_side,room_cat1,vocab_control
KN001,train,ROMAN,92506,ROOM,,0,0,0,0,16,0,0,0,1,0.820201,0.837823,89407,1,0,0,0,RANK,1,0
KN002,train,ROMAN,90691,ENT,,0,0,0,0,13094,0,0,0,0,0.820273,0.860245,88019,0,0,0,0,MISS,0,0
KN004,train,ROMAN,14991,SUCCESS,1,1,1,1,1,107,0,0,0,0,0.85472,0.868816,16132,0,1,0,1,MISS,0,0
KN005,train,ROMAN,64084,NEIGH,,0,0,0,0,20301,0,0,0,0,0.796987,0.848521,40172,0,0,0,0,MISS,0,0
KN006,train,ROMAN,29860,ROOM,,0,0,0,0,13002,0,0,0,0,0.825441,0.867266,68259,0,0,0,0,MISS,1,0
KN008,train,ROMAN,47197,ROOM,,0,0,0,0,2036,0,0,0,0,0.787193,0.820747,47636,0,0,0,0,MISS,1,0
KN010,train,ROMAN,1674,ROOM,,0,0,0,0,466,0,0,0,0,0.851459,0.870678,71085,0,0,0,0,MISS,1,0
KN011,train,ROMAN,60226,ROOM,,0,0,0,0,1,1,1,1,1,0.854181,0.854181,60226,1,0,1,0,HIT@5,1,0
KN012,train,ROMAN,13580,SUCCESS,5,0,1,1,1,59,0,0,0,0,0.841731,0.856925,100699,0,1,0,1,MISS,0,0
KN013,train,ROMAN,82652,ROOM,,0,0,0,0,4,0,1,1,1,0.85912,0.868494,53844,1,0,1,0,HIT@5,0,0
KN014,train,ROMAN,79754,RANK,44,0,0,0,1,16,0,0,0,1,0.851251,0.859991,21946,0,0,0,0,RANK,0,0
KN015,train,ROMAN,22450,VOCAB,,0,0,0,0,9,0,0,1,1,0.877471,0.891022,22170,1,0,0,0,RANK,0,0
KN016,train,ROMAN,100673,ENT,,0,0,0,0,1,1,1,1,1,0.875799,0.875799,100673,1,0,1,0,HIT@5,0,0
KN017,train,ROMAN,19341,VOCAB,,0,0,0,0,1,1,1,1,1,0.838979,0.838979,19341,1,0,1,0,HIT@5,0,1
KN018,train,ROMAN,17943,ROOM,,0,0,0,0,11213,0,0,0,0,0.819017,0.857142,98856,0,0,0,0,MISS,1,0
KN019,train,ROMAN,5092,ENT,,0,0,0,0,5,0,1,1,1,0.867595,0.872071,26110,1,0,1,0,HIT@5,0,0
KN020,train,ROMAN,60895,VOCAB,,0,0,0,0,110,0,0,0,0,0.828842,0.844975,55485,0,0,0,0,MISS,0,1
KN021,train,ROMAN,13065,ROOM,,0,0,0,0,167,0,0,0,0,0.806809,0.833025,10275,0,0,0,0,MISS,0,0
KN022,train,ROMAN,14664,ENT,,0,0,0,0,4030,0,0,0,0,0.830857,0.857819,10623,0,0,0,0,MISS,0,0
KN023,train,ROMAN,12128,SUCCESS,3,0,1,1,1,47725,0,0,0,0,0.793716,0.853532,21329,0,1,0,1,MISS,0,0
KN024,train,ROMAN,31154,ROOM,,0,0,0,0,204,0,0,0,0,0.846116,0.881769,45575,0,0,0,0,MISS,0,0
KN025,train,ROMAN,60831,ROOM,,0,0,0,0,301,0,0,0,0,0.844221,0.863603,109567,0,0,0,0,MISS,0,0
KN026,train,ROMAN,102664,ENT,,0,0,0,0,16757,0,0,0,0,0.816771,0.865447,8113,0,0,0,0,MISS,0,0
KN027,train,ROMAN,59279,ROOM,,0,0,0,0,196,0,0,0,0,0.827566,0.854821,21236,0,0,0,0,MISS,0,0
KN028,train,ROMAN,76785,VOCAB,,0,0,0,0,523,0,0,0,0,0.846403,0.871253,78878,0,0,0,0,MISS,0,0
KN029,train,ROMAN,101347,ENT,,0,0,0,0,1,1,1,1,1,0.845519,0.845519,101347,1,0,1,0,HIT@5,0,0
KN030,train,ROMAN,47083,ENT,,0,0,0,0,24,0,0,0,1,0.827251,0.834786,37117,1,0,0,0,RANK,0,0
KN031,train,ROMAN,29423,ROOM,,0,0,0,0,4,0,1,1,1,0.840946,0.847095,36600,1,0,1,0,HIT@5,0,0
KN032,train,ROMAN,41695,ENT,,0,0,0,0,6216,0,0,0,0,0.821891,0.860905,68113,0,0,0,0,MISS,0,0
KN033,train,ROMAN,81673,ENT,,0,0,0,0,3,0,1,1,1,0.849743,0.854513,42020,1,0,1,0,HIT@5,0,0
KN034,train,ROMAN,13398,ENT,,0,0,0,0,3,0,1,1,1,0.836537,0.842388,6070,1,0,1,0,HIT@5,0,0
KN035,train,ROMAN,10546,ENT,,0,0,0,0,623,0,0,0,0,0.842454,0.858857,8499,0,0,0,0,MISS,0,0
KN036,train,ROMAN,76509,VOCAB,,0,0,0,0,1674,0,0,0,0,0.820045,0.869219,74914,0,0,0,0,MISS,0,0
KN037,dev,ROMAN,22739,ROOM,,0,0,0,0,2537,0,0,0,0,0.828823,0.860472,18185,0,0,0,0,MISS,1,0
KN038,dev,ROMAN,40057,SUCCESS,3,0,1,1,1,7228,0,0,0,0,0.805899,0.844382,87769,0,1,0,1,MISS,0,0
KN039,dev,ROMAN,23062,VOCAB,,0,0,0,0,2,0,1,1,1,0.862044,0.874224,22116,1,0,1,0,HIT@5,0,0
KN040,dev,ROMAN,24596,ENT,,0,0,0,0,27,0,0,0,1,0.866997,0.882169,21946,1,0,0,0,RANK,0,0
KN041,dev,ROMAN,65903,VOCAB,,0,0,0,0,11599,0,0,0,0,0.800867,0.85141,1401,0,0,0,0,MISS,0,1
KN042,dev,ROMAN,111652,VOCAB,,0,0,0,0,469,0,0,0,0,0.853449,0.874411,63467,0,0,0,0,MISS,0,0
KN043,dev,ROMAN,21399,ENT,,0,0,0,0,23,0,0,0,1,0.826744,0.849448,80161,1,0,0,0,RANK,0,0
KN044,dev,ROMAN,23544,ROOM,,0,0,0,0,454,0,0,0,0,0.850128,0.868631,106169,0,0,0,0,MISS,0,0
KN045,dev,ROMAN,19783,ROOM,,0,0,0,0,23,0,0,0,1,0.856978,0.866396,19606,1,0,0,0,RANK,1,0
KN046,dev,ROMAN,109714,VOCAB,,0,0,0,0,2,0,1,1,1,0.870822,0.876847,61183,1,0,1,0,HIT@5,0,0
