query_id,split,script,source_doc_id,dense_rank,dense_hit@5,dense_hit@50,gold_similarity
KN001,train,ROMAN,92506,16,0,1,0.820201
KN002,train,ROMAN,90691,13094,0,0,0.820273
KN003,train,URDU,17150,3,1,1,0.896193
KN004,train,ROMAN,14991,107,0,0,0.85472
KN005,train,ROMAN,64084,20301,0,0,0.796987
KN006,train,ROMAN,29860,13002,0,0,0.825441
KN007,train,URDU,70358,1,1,1,0.893938
KN008,train,ROMAN,47197,2036,0,0,0.787193
KN009,train,URDU,21892,1,1,1,0.8939
KN010,train,ROMAN,1674,466,0,0,0.851459
KN011,train,ROMAN,60226,1,1,1,0.854181
KN012,train,ROMAN,13580,59,0,0,0.841731
KN013,train,ROMAN,82652,4,1,1,0.85912
KN014,train,ROMAN,79754,16,0,1,0.851251
KN015,train,ROMAN,22450,9,0,1,0.877471
KN016,train,ROMAN,100673,1,1,1,0.875799
KN017,train,ROMAN,19341,1,1,1,0.838979
KN018,train,ROMAN,17943,11213,0,0,0.819017
KN019,train,ROMAN,5092,5,1,1,0.867595
KN020,train,ROMAN,60895,110,0,0,0.828842
KN021,train,ROMAN,13065,167,0,0,0.806809
KN022,train,ROMAN,14664,4030,0,0,0.830857
KN023,train,ROMAN,12128,47725,0,0,0.793716
KN024,train,ROMAN,31154,204,0,0,0.846116
KN025,train,ROMAN,60831,301,0,0,0.844221
KN026,train,ROMAN,102664,16757,0,0,0.816771
KN027,train,ROMAN,59279,196,0,0,0.827566
KN028,train,ROMAN,76785,523,0,0,0.846403
KN029,train,ROMAN,101347,1,1,1,0.845519
KN030,train,ROMAN,47083,24,0,1,0.827251
KN031,train,ROMAN,29423,4,1,1,0.840946
KN032,train,ROMAN,41695,6216,0,0,0.821891
KN033,train,ROMAN,81673,3,1,1,0.849743
KN034,train,ROMAN,13398,3,1,1,0.836537
KN035,train,ROMAN,10546,623,0,0,0.842454
KN036,train,ROMAN,76509,1674,0,0,0.820045
KN037,dev,ROMAN,22739,2537,0,0,0.828823
KN038,dev,ROMAN,40057,7228,0,0,0.805899
KN039,dev,ROMAN,23062,2,1,1,0.862044
KN040,dev,ROMAN,24596,27,0,1,0.866997
KN041,dev,ROMAN,65903,11599,0,0,0.800867
KN042,dev,ROMAN,111652,469,0,0,0.853449
KN043,dev,ROMAN,21399,23,0,1,0.826744
KN044,dev,ROMAN,23544,454,0,0,0.850128
KN045,dev,ROMAN,19783,23,0,1,0.856978
KN046,dev,ROMAN,109714,2,1,1,0.870822
KN047,dev,ROMAN,61862,59,0,0,0.848005
KN048,dev,ROMAN,20073,3,1,1,0.861121
KN049,dev,ROMAN,86593,1,1,1,0.881911
KN050,dev,ROMAN,34762,3531,0,0,0.821964
KN051,dev,ROMAN,21160,616,0,0,0.834759
KN052,dev,ROMAN,59426,2,1,1,0.860536
KN053,dev,ROMAN,22115,5,1,1,0.861432
KN054,dev,ROMAN,4400,2978,0,0,0.830214
