query_id,split,benchmark_script,detect_script,pass,quad23,quad23_routing_pass
KN001,train,ROMAN,ROMAN,1,0,
KN002,train,ROMAN,ROMAN,1,1,1
KN004,train,ROMAN,ROMAN,1,0,
KN005,train,ROMAN,ROMAN,1,1,1
KN006,train,ROMAN,ROMAN,1,1,1
KN008,train,ROMAN,ROMAN,1,1,1
KN010,train,ROMAN,ROMAN,1,1,1
KN011,train,ROMAN,ROMAN,1,0,
KN012,train,ROMAN,ROMAN,1,0,
KN013,train,ROMAN,ROMAN,1,0,
KN014,train,ROMAN,ROMAN,1,0,
KN015,train,ROMAN,ROMAN,1,0,
KN016,train,ROMAN,ROMAN,1,0,
KN017,train,ROMAN,ROMAN,1,0,
KN018,train,ROMAN,ROMAN,1,1,1
KN019,train,ROMAN,ROMAN,1,0,
KN020,train,ROMAN,ROMAN,1,1,1
KN021,train,ROMAN,ROMAN,1,1,1
KN022,train,ROMAN,ROMAN,1,1,1
KN023,train,ROMAN,ROMAN,1,0,
KN024,train,ROMAN,ROMAN,1,1,1
KN025,train,ROMAN,ROMAN,1,1,1
KN026,train,ROMAN,ROMAN,1,1,1
KN027,train,ROMAN,ROMAN,1,1,1
KN028,train,ROMAN,ROMAN,1,1,1
KN029,train,ROMAN,ROMAN,1,0,
KN030,train,ROMAN,ROMAN,1,0,
KN031,train,ROMAN,ROMAN,1,0,
KN032,train,ROMAN,ROMAN,1,1,1
KN033,train,ROMAN,ROMAN,1,0,
KN034,train,ROMAN,ROMAN,1,0,
KN035,train,ROMAN,ROMAN,1,0,
KN036,train,ROMAN,ROMAN,1,1,1
KN037,dev,ROMAN,ROMAN,1,1,1
KN038,dev,ROMAN,ROMAN,1,0,
KN039,dev,ROMAN,ROMAN,1,0,
KN040,dev,ROMAN,ROMAN,1,0,
KN041,dev,ROMAN,ROMAN,1,1,1
KN042,dev,ROMAN,ROMAN,1,1,1
KN043,dev,ROMAN,ROMAN,1,0,
KN044,dev,ROMAN,ROMAN,1,1,1
KN045,dev,ROMAN,ROMAN,1,0,
KN046,dev,ROMAN,ROMAN,1,0,
KN047,dev,ROMAN,ROMAN,1,1,1
KN048,dev,ROMAN,ROMAN,1,0,
KN049,dev,ROMAN,ROMAN,1,0,
KN050,dev,ROMAN,ROMAN,1,0,
KN051,dev,ROMAN,ROMAN,1,1,1
KN052,dev,ROMAN,ROMAN,1,0,
KN053,dev,ROMAN,ROMAN,1,0,
KN054,dev,ROMAN,ROMAN,1,1,1
